mp_id,formula,band_gap,Ef_eV_atom,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
mp-550070,NbBr2O,0.9038,-1.975614217499999,Nb1 Br2 O1,8.0,41.0,33.0,29.75,10.875,35.0,47.0,95.0,48.0,81.0,17.0,95.0,15.9994,92.90638,76.90698,67.178445,25.5895225,79.904,54.8,2750.0,2695.2,834.1,957.95,265.8,5.0,17.0,12.0,13.75,4.375,17.0,2.0,5.0,3.0,3.75,0.875,4.0,66.0,164.0,98.0,117.5,25.75,120.0,1.6,3.44,1.8399999999999999,2.7399999999999998,0.5700000000000001,2.96,1.0,2.0,1.0,1.75,0.375,2.0,0.0,5.0,5.0,3.5,1.75,5.0,0.0,10.0,10.0,6.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,12.0,11.25,5.75,17.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,2.0,2.0,1.0,0.5,1.0,0.0,6.0,6.0,1.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.75,2.125,1.0,9.105,29.48,20.375,21.56125,7.91875,29.48,0.0,1.457,1.457,0.7285,0.7285,1.457,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,92.25,68.375,64.0
mp-19205,ErVO3,1.5838,-3.3105158775,Er1 V1 O3,8.0,68.0,60.0,23.0,18.0,8.0,35.0,87.0,52.0,68.4,22.32,87.0,15.9994,167.259,151.25959999999998,53.23974,45.607704,15.9994,54.8,2183.0,2128.2,823.4799999999999,922.4159999999999,54.8,3.0,16.0,13.0,11.2,5.76,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,189.0,123.0,108.0,50.4,66.0,1.24,3.44,2.2,2.6380000000000003,0.9623999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,12.0,12.0,2.4,3.84,0.0,5.0,14.0,9.0,7.4,2.64,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,0.0,2.0,2.0,0.4,0.64,0.0,2.0,7.0,5.0,3.0,1.6,2.0,9.105,30.585,21.48,14.181999999999999,6.5611999999999995,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0
mp-540577,KZr2(PO4)3,4.2822,-3.18968664089881,K1 Zr2 P3 O12,8.0,40.0,32.0,13.333333333333334,7.111111111111111,8.0,3.0,87.0,84.0,76.88888888888889,15.51851851851852,87.0,15.9994,91.224,75.22460000000001,28.13668811111111,16.183050814814813,15.9994,54.8,2128.0,2073.2,344.55722222222226,396.3206172839507,54.8,1.0,16.0,15.0,13.666666666666666,3.5555555555555554,16.0,2.0,5.0,3.0,2.611111111111111,0.8148148148148148,2.0,66.0,203.0,137.0,92.55555555555556,35.407407407407405,66.0,0.82,3.44,2.62,2.8516666666666666,0.7844444444444444,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.1666666666666665,1.1111111111111112,4.0,0.0,2.0,2.0,0.2222222222222222,0.3950617283950617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,5.333333333333333,0.8888888888888888,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,3.0,3.0,1.8333333333333333,0.6111111111111112,2.0,0.0,8.0,8.0,0.8888888888888888,1.5802469135802468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.7777777777777777,1.2345679012345678,2.0,9.105,73.1066666667,64.00166666669999,16.470410052905557,9.820546737207406,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,42.611111111111114,54.351851851851855,12.0
mp-753467,TaCrO4,2.459699999999999,-2.945962722055546,Ta1 Cr1 O4,8.0,73.0,65.0,21.5,18.0,8.0,48.0,87.0,39.0,74.16666666666667,17.11111111111111,87.0,15.9994,180.94788,164.94848,49.49026333333333,44.65448444444445,15.9994,54.8,3290.0,3235.2,948.1999999999999,1191.2,54.8,5.0,16.0,11.0,12.5,4.666666666666667,16.0,2.0,6.0,4.0,3.0,1.3333333333333333,2.0,66.0,170.0,104.0,95.5,39.333333333333336,66.0,1.5,3.44,1.94,2.8200000000000003,0.8266666666666665,3.44,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,5.0,5.0,1.3333333333333333,1.777777777777778,0.0,0.0,14.0,14.0,2.3333333333333335,3.8888888888888893,0.0,6.0,19.0,13.0,8.166666666666666,3.6111111111111107,6.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777773,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,7.0,7.0,2.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.5,2.0,2.0,9.105,18.12,9.015,10.955,2.4666666666666663,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,84.33333333333333,96.44444444444446,12.0
mp-554148,KFe(MoO4)2,2.3116,-2.007513676854168,K1 Fe1 Mo2 O8,8.0,42.0,34.0,16.083333333333332,10.777777777777777,8.0,3.0,87.0,84.0,71.16666666666667,21.11111111111111,87.0,15.9994,95.96,79.9606,34.57154166666667,24.762855555555557,15.9994,54.8,2896.0,2841.2,698.1608333333334,918.08625,54.8,1.0,16.0,15.0,12.416666666666666,4.777777777777778,16.0,2.0,5.0,3.0,2.8333333333333335,1.1111111111111112,2.0,66.0,203.0,137.0,97.58333333333333,42.11111111111111,66.0,0.82,3.44,2.62,2.874166666666667,0.7544444444444443,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,6.0,6.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,5.75,0.7916666666666666,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,5.0,5.0,1.1666666666666667,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.75,1.2916666666666667,2.0,9.105,73.1066666667,64.00166666669999,15.671388888891665,9.578750000004165,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.17588856666666666,0.32246237222222224,0.0,12.0,229.0,217.0,84.33333333333333,96.44444444444446,12.0
mp-19024,HoVO3,0.0,-3.301341118499998,Ho1 V1 O3,8.0,67.0,59.0,22.8,17.76,8.0,33.0,87.0,54.0,68.0,22.8,87.0,15.9994,164.93032,148.93092,52.77400399999999,44.86252639999999,15.9994,54.8,2183.0,2128.2,818.88,916.896,54.8,3.0,16.0,13.0,11.2,5.76,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,192.0,126.0,108.6,51.12,66.0,1.23,3.44,2.21,2.636,0.9648,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,11.0,11.0,2.2,3.5200000000000005,0.0,5.0,13.0,8.0,7.2,2.3200000000000003,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,0.0,3.0,3.0,0.6,0.96,0.0,2.0,7.0,5.0,3.2,1.52,2.0,9.105,30.7333333333,21.6283333333,14.21166666666,6.608666666655999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0
mp-504476,Cu2PO4F,0.0,-1.858791852142857,Cu2 P1 O4 F1,8.0,29.0,21.0,14.25,7.5625,8.0,64.0,93.0,29.0,81.5,8.75,87.0,15.9994,63.546,47.5466,30.132720650000003,16.9169000125,15.9994,53.5,1357.77,1304.27,413.1925,472.28875,54.8,11.0,17.0,6.0,14.75,1.875,16.0,2.0,4.0,2.0,2.625,0.78125,2.0,57.0,132.0,75.0,86.5,27.875,66.0,1.9,3.98,2.08,2.96625,0.7271875,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,5.0,5.0,3.0,1.5,4.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,7.25,1.875,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,3.0,3.0,1.5,0.875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.75,0.5625,2.0,9.105,22.5702380952,13.4652380952,11.3547172619,2.8038802083249994,9.105,0.0,1.97,1.97,0.44937499999999997,0.6740625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.0,223.0,64.375,80.3125,12.0
mp-768221,YBiO3,3.0748,-2.764777345,Y1 Bi1 O3,8.0,83.0,75.0,29.2,25.439999999999998,8.0,12.0,87.0,75.0,71.8,23.92,87.0,15.9994,208.9804,192.981,69.17689,63.812988,15.9994,54.8,1799.0,1744.2,501.56000000000006,536.1120000000001,54.8,3.0,16.0,13.0,13.2,4.08,16.0,2.0,6.0,4.0,3.4,1.6799999999999997,2.0,66.0,190.0,124.0,107.2,49.44,66.0,1.22,3.44,2.2199999999999998,2.712,0.8735999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.2,3.12,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,3.0,29.0,26.0,10.0,7.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.6,2.16,2.0,9.105,32.95,23.845000000000002,18.526,11.305200000000001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,48.4,58.239999999999995,12.0
mp-769470,Li11Fe(WO4)7,2.8156,-2.251534366312056,Li11 Fe1 W7 O28,3.0,74.0,71.0,17.04255319148936,17.34721593481213,8.0,1.0,87.0,86.0,60.829787234042556,31.18153010411951,87.0,6.941,183.84,176.899,39.72466382978724,43.613944228157536,15.9994,54.8,3695.0,3640.2,727.6806382978723,929.981059302852,54.8,1.0,16.0,15.0,10.829787234042554,6.16025350837483,16.0,2.0,6.0,4.0,2.6382978723404253,1.0593028519692167,2.0,66.0,162.0,96.0,96.2127659574468,35.99818922589407,66.0,0.98,3.44,2.46,2.6691489361702123,0.9184608420099594,3.44,1.0,2.0,1.0,1.7659574468085106,0.35853327297419646,2.0,0.0,4.0,4.0,2.382978723404255,1.9266636487098232,4.0,0.0,6.0,6.0,0.723404255319149,1.200543232231779,0.0,0.0,14.0,14.0,2.0851063829787235,3.5491172476233586,0.0,1.0,20.0,19.0,6.957446808510638,3.9293798098687183,6.0,0.0,1.0,1.0,0.23404255319148937,0.35853327297419646,0.0,0.0,2.0,2.0,1.1914893617021276,0.9633318243549116,2.0,0.0,6.0,6.0,0.9787234042553191,1.6242643730194657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.404255319148936,1.1389769126301494,2.0,9.105,16.5933333333,7.488333333299998,11.926524822687234,3.4127327599119055,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.044907719148936175,0.08790447152557719,0.0,12.0,229.0,217.0,99.72340425531915,104.52150294250791,12.0
mp-1205339,Ge(SeO3)2,3.727999999999999,-1.505156669409721,Ge1 Se2 O6,8.0,34.0,26.0,16.444444444444443,11.25925925925926,8.0,79.0,89.0,10.0,86.55555555555556,1.6790123456790111,87.0,15.9994,78.96,62.96059999999999,36.28404444444445,27.04619259259259,15.9994,54.8,1211.4,1156.6000000000001,280.9111111111111,301.4814814814815,54.8,14.0,16.0,2.0,15.777777777777779,0.3950617283950611,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,120.0,54.0,84.0,24.0,66.0,2.01,3.44,1.4300000000000002,3.0833333333333335,0.4755555555555555,3.44,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.7777777777777777,0.3950617283950618,4.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0,9.11111111111111,4.148148148148148,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.2222222222222223,0.3950617283950618,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.2222222222222223,0.3950617283950618,2.0,9.105,25.92,16.815,14.386111111111111,7.0414814814814815,9.105,0.0,0.799,0.799,0.22011111111111112,0.29348148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,36.111111111111114,41.97530864197532,12.0
mp-19379,CoSO4,2.1606,-1.7370555291666672,Co1 S1 O4,8.0,27.0,19.0,12.5,6.0,8.0,58.0,88.0,30.0,82.33333333333333,8.111111111111114,87.0,15.9994,58.933195,42.933794999999996,25.8326325,13.110976666666664,15.9994,54.8,1768.0,1713.2,395.9266666666667,457.35777777777776,54.8,9.0,16.0,7.0,14.833333333333334,1.944444444444444,16.0,2.0,4.0,2.0,2.5,0.6666666666666666,2.0,66.0,126.0,60.0,82.5,22.0,66.0,1.88,3.44,1.56,3.0366666666666666,0.5377777777777778,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.3333333333333335,1.111111111111111,4.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,3.0,6.5,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.6666666666666667,0.5555555555555555,2.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.1666666666666665,0.2777777777777777,2.0,9.105,25.786875,16.681874999999998,12.0753125,4.570520833333333,9.105,0.0,2.202,2.202,0.367,0.6116666666666667,0.0,0.0,1.5484712,1.5484712,0.25807853333333336,0.4301308888888889,0.0,12.0,194.0,182.0,52.0,53.333333333333336,12.0
mp-22802,PrMn2O5,0.0,-2.595781837503592,Pr1 Mn2 O5,8.0,59.0,51.0,18.625,13.28125,8.0,17.0,87.0,70.0,69.5,21.875,87.0,15.9994,140.90765,124.90825,41.3475925,31.685240625,15.9994,54.8,1519.0,1464.2,564.5,637.125,54.8,3.0,16.0,13.0,12.125,4.84375,16.0,2.0,6.0,4.0,3.0,1.25,2.0,66.0,203.0,137.0,101.375,44.21875,66.0,1.13,3.44,2.31,2.67875,0.9515625,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.5,1.875,4.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,3.0,3.0,0.375,0.65625,0.0,5.0,7.0,2.0,6.125,0.4375,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.25,0.9375,2.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,11.0,11.0,1.375,2.40625,0.0,2.0,11.0,9.0,3.875,2.34375,2.0,9.105,35.675,26.569999999999997,12.771896551725,5.725775862068749,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,7.753017241375e-05,0.000116295258620625,0.0,12.0,217.0,205.0,86.0,92.5,12.0
mp-19121,TbVO4,2.9881,-3.20938931361111,Tb1 V1 O4,8.0,65.0,57.0,20.0,16.0,8.0,29.0,87.0,58.0,70.5,22.0,87.0,15.9994,158.92535,142.92595,45.644074999999994,39.52623333333333,15.9994,54.8,2183.0,2128.2,671.8666666666667,822.7555555555555,54.8,3.0,16.0,13.0,12.0,5.333333333333333,16.0,2.0,6.0,4.0,3.0,1.3333333333333333,2.0,66.0,194.0,128.0,101.83333333333333,47.77777777777777,66.0,1.21,3.44,2.23,2.766666666666667,0.8977777777777777,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,9.0,9.0,1.5,2.5,0.0,5.0,11.0,6.0,6.666666666666667,1.4444444444444446,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444446,0.0,0.0,5.0,5.0,0.8333333333333334,1.388888888888889,0.0,2.0,7.0,5.0,3.3333333333333335,1.777777777777778,2.0,9.105,31.7366666667,22.6316666667,13.527777777783333,6.069629629638889,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,78.5,88.66666666666667,12.0
mp-1192830,Cu3(MoO5)2,0.0,-1.396173429,Cu3 Mo2 O10,8.0,42.0,34.0,16.733333333333334,11.644444444444446,8.0,50.0,87.0,37.0,77.46666666666667,12.71111111111111,87.0,15.9994,95.96,79.9606,36.17013333333333,26.89431111111111,15.9994,54.8,2896.0,2841.2,694.2206666666666,852.5608888888889,54.8,6.0,16.0,10.0,13.666666666666666,3.1111111111111116,16.0,2.0,5.0,3.0,2.8,1.0666666666666667,2.0,66.0,154.0,88.0,90.93333333333334,33.24444444444445,66.0,1.9,3.44,1.54,2.9613333333333336,0.638222222222222,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,10.0,10.0,2.6666666666666665,3.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,7.0,1.6,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,5.0,5.0,0.6666666666666666,1.1555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.3333333333333335,0.9777777777777779,2.0,9.105,15.69,6.584999999999999,10.376000000000001,1.6946666666666668,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,83.53333333333333,95.37777777777777,12.0
mp-1041565,TiO2,1.82,-3.464407361944444,Ti1 O2,8.0,22.0,14.0,12.666666666666666,6.222222222222221,8.0,43.0,87.0,44.0,72.33333333333333,19.555555555555557,87.0,15.9994,47.867,31.867599999999996,26.62193333333333,14.163377777777777,15.9994,54.8,1941.0,1886.2,683.5333333333333,838.3111111111111,54.8,4.0,16.0,12.0,12.0,5.333333333333333,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,160.0,94.0,97.33333333333333,41.77777777777778,66.0,1.54,3.44,1.9,2.8066666666666666,0.8444444444444444,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.0,2.6666666666666665,2.0,9.105,16.69,7.585000000000001,11.633333333333335,3.371111111111112,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,7.5111111111e-06,1.00148148148e-05,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0
mp-504811,Rb2Pb4O7,0.9863,-1.510042240769228,Rb2 Pb4 O7,8.0,82.0,74.0,35.23076923076923,29.325443786982248,8.0,4.0,87.0,83.0,72.38461538461539,21.041420118343197,87.0,15.9994,207.2,191.20059999999998,85.5178,74.88135384615384,15.9994,54.8,600.61,545.8100000000001,262.38153846153847,223.54934911242603,54.8,1.0,16.0,15.0,13.076923076923077,3.7159763313609466,16.0,2.0,6.0,4.0,3.6923076923076925,1.8224852071005917,2.0,66.0,220.0,154.0,114.3076923076923,52.02366863905326,66.0,0.82,3.44,2.62,2.6953846153846155,0.8018934911242603,3.44,1.0,2.0,1.0,1.8461538461538463,0.26035502958579876,2.0,0.0,4.0,4.0,2.769230769230769,1.3254437869822486,4.0,0.0,10.0,10.0,3.076923076923077,4.260355029585799,0.0,0.0,14.0,14.0,4.3076923076923075,5.964497041420119,0.0,1.0,28.0,27.0,12.0,9.846153846153847,6.0,0.0,1.0,1.0,0.15384615384615385,0.2603550295857988,0.0,0.0,4.0,4.0,2.3076923076923075,1.041420118343195,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.4615384615384617,0.9467455621301776,2.0,9.105,90.7225,81.61749999999999,27.50923076923077,19.819940828402366,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,110.92307692307692,106.53254437869822,12.0
mp-754526,TmBrO,4.4383,-3.322529855000001,Tm1 Br1 O1,8.0,69.0,61.0,37.333333333333336,21.11111111111111,8.0,37.0,95.0,58.0,73.0,24.0,37.0,15.9994,168.93421,152.93481,88.27920333333333,53.77000444444445,15.9994,54.8,1818.0,1763.2,712.8666666666668,736.7555555555556,54.8,3.0,17.0,14.0,12.0,6.0,3.0,2.0,6.0,4.0,4.0,1.3333333333333333,2.0,66.0,190.0,124.0,125.33333333333333,43.11111111111111,66.0,1.25,3.44,2.19,2.5500000000000003,0.8666666666666666,1.25,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,13.0,13.0,4.333333333333333,5.777777777777778,0.0,6.0,17.0,11.0,12.666666666666666,4.444444444444445,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,9.105,29.78,20.675,22.788333333333338,9.122222222222222,9.105,0.0,1.457,1.457,0.4856666666666667,0.6475555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,90.0,69.33333333333333,12.0
