mp_id,formula,band_gap,Ef_eV_atom,volume_A3,density_g_cm3,crystal_system,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
mp-757653,LiFePO4,3.6826,-2.3812844369430266,1272.442983865016,3.2939756525992356,Monoclinic,Li1 Fe1 P1 O4,3.0,26.0,23.0,10.857142857142858,5.5102040816326525,8.0,1.0,87.0,86.0,69.57142857142857,23.755102040816325,87.0,6.941,55.845,48.903999999999996,22.536766,11.92720857142857,15.9994,54.8,1811.0,1756.2,400.17,418.38571428571424,54.8,1.0,16.0,15.0,12.571428571428571,4.612244897959184,16.0,2.0,4.0,2.0,2.4285714285714284,0.6122448979591836,2.0,66.0,132.0,66.0,90.14285714285714,27.591836734693878,66.0,0.98,3.44,2.46,2.6799999999999997,0.8685714285714285,3.44,1.0,2.0,1.0,1.8571428571428572,0.24489795918367344,2.0,0.0,4.0,4.0,2.7142857142857144,1.5510204081632655,4.0,0.0,6.0,6.0,0.8571428571428571,1.4693877551020407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,5.428571428571429,1.3877551020408163,6.0,0.0,1.0,1.0,0.14285714285714285,0.24489795918367346,0.0,0.0,3.0,3.0,1.5714285714285714,0.8979591836734694,2.0,0.0,4.0,4.0,0.5714285714285714,0.9795918367346939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.6938775510204082,2.0,9.105,22.5702380952,13.4652380952,12.330510204071429,4.143586005816326,9.105,0.0,1.625,1.625,0.23214285714285715,0.3979591836734694,0.0,0.0,2.1106628,2.1106628,0.30152325714285716,0.5168970122448979,0.0,2.0,229.0,227.0,72.57142857142857,89.38775510204083,12.0
mp-761940,Li2MnCo3O8,0.0,-1.6735450065784079,535.2416100674693,4.636425945020977,Monoclinic,Li2 Mn1 Co3 O8,3.0,27.0,24.0,12.571428571428571,7.959183673469388,8.0,1.0,87.0,86.0,66.0,24.0,87.0,6.941,58.933195,51.992194999999995,26.68677357142857,17.85579081632653,15.9994,54.8,1768.0,1713.2,583.4842857142856,641.294693877551,54.8,1.0,16.0,15.0,11.714285714285714,4.8979591836734695,16.0,2.0,4.0,2.0,2.5714285714285716,0.8163265306122449,2.0,66.0,139.0,73.0,92.92857142857143,30.775510204081634,66.0,0.98,3.44,2.46,2.619285714285714,0.9379591836734694,3.44,1.0,2.0,1.0,1.8571428571428572,0.24489795918367344,2.0,0.0,4.0,4.0,2.2857142857142856,1.959183673469388,4.0,0.0,7.0,7.0,1.8571428571428572,2.6530612244897958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,6.0,1.4285714285714286,6.0,0.0,1.0,1.0,0.14285714285714285,0.24489795918367346,0.0,0.0,2.0,2.0,1.1428571428571428,0.979591836734694,2.0,0.0,5.0,5.0,1.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.2857142857142856,0.6938775510204082,2.0,9.105,16.5933333333,7.488333333299998,10.517803776678571,1.735865587606122,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.3318374086206897,0.5214144820197044,0.0,12.0,229.0,217.0,96.64285714285714,96.73469387755101,12.0
mp-1177722,Li3Co2Ni3O10,0.0,-1.3304577363888892,344.1842919520092,4.581054441645703,Monoclinic,Li3 Co2 Ni3 O10,3.0,28.0,25.0,12.61111111111111,8.32716049382716,8.0,1.0,87.0,86.0,65.11111111111111,24.320987654320987,87.0,6.941,58.933195,51.992194999999995,26.375755,18.007535000000004,15.9994,54.8,1768.0,1713.2,590.5038888888889,640.8311728395062,54.8,1.0,16.0,15.0,11.722222222222221,4.753086419753086,16.0,2.0,4.0,2.0,2.5555555555555554,0.802469135802469,2.0,66.0,128.0,62.0,92.66666666666667,29.629629629629633,66.0,0.98,3.44,2.46,2.6016666666666666,0.9314814814814815,3.44,1.0,2.0,1.0,1.8333333333333333,0.2777777777777779,2.0,0.0,4.0,4.0,2.2222222222222223,1.9753086419753088,4.0,0.0,8.0,8.0,2.111111111111111,3.0493827160493834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,6.166666666666667,1.9074074074074074,6.0,0.0,1.0,1.0,0.16666666666666666,0.2777777777777778,0.0,0.0,2.0,2.0,1.1111111111111112,0.9876543209876544,2.0,0.0,3.0,3.0,0.6666666666666666,0.9629629629629631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.9444444444444444,0.3148148148148149,2.0,9.105,16.5933333333,7.488333333299998,10.682222222216668,1.9703703703611113,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.27128480555555556,0.3918558302469136,0.0,12.0,229.0,217.0,103.88888888888889,102.09876543209877,12.0
mp-767404,Gd2As4O11,2.484,-2.3684767252941166,538.5685541293234,4.872636619093504,Monoclinic,Gd2 As4 O11,8.0,64.0,56.0,20.470588235294116,16.13840830449827,8.0,27.0,87.0,60.0,79.23529411764706,12.290657439446367,87.0,15.9994,157.25,141.2506,46.48116470588236,39.446989619377156,15.9994,54.8,1586.0,1531.2,478.5176470588235,548.3404844290658,54.8,3.0,16.0,13.0,14.235294117647058,2.6435986159169556,16.0,2.0,6.0,4.0,2.9411764705882355,1.217993079584775,2.0,66.0,196.0,130.0,93.76470588235294,35.93079584775086,66.0,1.2,3.44,2.24,2.8799999999999994,0.7247058823529413,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.2941176470588234,0.9134948096885814,4.0,0.0,10.0,10.0,2.4705882352941178,3.54325259515571,0.0,0.0,7.0,7.0,0.8235294117647058,1.453287197231834,0.0,6.0,15.0,9.0,8.588235294117647,3.3494809688581313,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.47058823529411764,2.0,0.0,9.0,9.0,1.0588235294117647,1.8685121107266436,0.0,0.0,7.0,7.0,0.8235294117647058,1.453287197231834,0.0,2.0,16.0,14.0,3.8823529411764706,2.8512110726643596,2.0,9.105,32.05,22.944999999999997,14.879705882352942,7.473148788927335,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,69.6470588235294,74.60207612456746,12.0
mp-23562,KIO4,2.3475,-1.1666216437083339,204.52228151704813,3.7347969856205596,Tetragonal,K1 I1 O4,8.0,53.0,45.0,17.333333333333332,12.444444444444445,8.0,3.0,96.0,93.0,74.5,23.833333333333332,87.0,15.9994,126.90447,110.90507000000001,38.333395,29.778660000000002,15.9994,54.8,386.85,332.05,157.09666666666666,136.39555555555555,54.8,1.0,17.0,16.0,13.666666666666666,4.222222222222222,16.0,2.0,5.0,3.0,2.8333333333333335,1.1111111111111112,2.0,66.0,203.0,137.0,101.0,46.666666666666664,66.0,0.82,3.44,2.62,2.873333333333333,0.7555555555555555,3.44,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,5.0,5.0,3.5,1.1666666666666667,4.0,0.0,10.0,10.0,1.6666666666666667,2.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,16.0,7.0,3.3333333333333335,6.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777773,0.0,0.0,2.0,2.0,1.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,9.105,73.1066666667,64.00166666669999,25.423611111116667,21.758148148155556,9.105,0.0,1.062,1.062,0.17700000000000002,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,56.833333333333336,59.77777777777777,12.0
mp-2228354,MgV5O12,1.2054999999999998,-2.435368423611111,200.13659230739782,3.9079445357852967,Triclinic,Mg1 V5 O12,8.0,23.0,15.0,12.38888888888889,5.895061728395062,8.0,46.0,87.0,41.0,74.55555555555556,16.59259259259259,87.0,15.9994,50.9415,34.942099999999996,26.16696111111111,13.763632716049381,15.9994,54.8,2183.0,2128.2,694.2,852.5333333333334,54.8,2.0,16.0,14.0,12.166666666666666,5.111111111111111,16.0,2.0,4.0,2.0,2.611111111111111,0.8148148148148149,2.0,66.0,153.0,87.0,94.33333333333333,37.77777777777778,66.0,1.31,3.44,2.13,2.818888888888889,0.8281481481481481,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.7777777777777777,4.0,0.0,3.0,3.0,0.8333333333333334,1.2037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,5.5,0.6666666666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.8888888888888888,2.0,0.0,7.0,7.0,1.9444444444444444,2.808641975308642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.2777777777777777,2.067901234567901,2.0,9.105,22.89,13.785,10.955555555555556,2.467407407407407,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,82.38888888888889,93.85185185185185,12.0
mp-675692,LiTi2O4,0.0,-3.1998569871428564,71.16070997267524,3.8893142595787777,Orthorhombic,Li1 Ti2 O4,3.0,22.0,19.0,11.285714285714286,6.122448979591837,8.0,1.0,87.0,86.0,62.142857142857146,28.408163265306122,87.0,6.941,47.867,40.925999999999995,23.810371428571425,13.746644897959182,15.9994,54.8,1941.0,1886.2,650.6985714285713,737.3151020408162,54.8,1.0,16.0,15.0,10.428571428571429,6.36734693877551,16.0,2.0,4.0,2.0,2.5714285714285716,0.816326530612245,2.0,66.0,160.0,94.0,101.71428571428571,40.816326530612244,66.0,0.98,3.44,2.46,2.545714285714286,1.0220408163265307,3.44,1.0,2.0,1.0,1.8571428571428572,0.24489795918367344,2.0,0.0,4.0,4.0,2.2857142857142856,1.959183673469388,4.0,0.0,2.0,2.0,0.5714285714285714,0.8163265306122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.714285714285714,1.4693877551020407,6.0,0.0,1.0,1.0,0.14285714285714285,0.24489795918367346,0.0,0.0,2.0,2.0,1.1428571428571428,0.979591836734694,2.0,0.0,8.0,8.0,2.2857142857142856,3.2653061224489797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.5714285714285716,2.5306122448979593,2.0,9.105,16.69,7.585000000000001,12.3419047619,3.6993197278857144,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,6.438095238085715e-06,9.197278911551022e-06,0.0,12.0,229.0,217.0,95.0,94.85714285714286,12.0
mp-780778,Li2Mn7(P2O7)4,3.2243000000000004,-2.5909124100961494,1081.1806235542563,3.361136327339852,Orthorhombic,Li2 Mn7 P8 O28,3.0,25.0,22.0,11.666666666666666,5.333333333333333,8.0,1.0,87.0,86.0,77.02222222222223,14.54222222222222,87.0,6.941,54.938045,47.997045,24.316035799999998,11.894038844444443,15.9994,54.8,1519.0,1464.2,346.95955555555554,374.1219555555555,54.8,1.0,16.0,15.0,13.755555555555556,3.2355555555555546,16.0,2.0,4.0,2.0,2.488888888888889,0.6518518518518519,2.0,66.0,139.0,73.0,87.4,26.631111111111114,66.0,0.98,3.44,2.46,2.8144444444444443,0.7784691358024691,3.44,1.0,2.0,1.0,1.9555555555555555,0.08493827160493833,2.0,0.0,4.0,4.0,3.022222222222222,1.2167901234567902,4.0,0.0,5.0,5.0,0.7777777777777778,1.3135802469135802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,5.7555555555555555,0.691358024691358,6.0,0.0,1.0,1.0,0.044444444444444446,0.08493827160493828,0.0,0.0,3.0,3.0,1.7777777777777777,0.7111111111111111,2.0,0.0,5.0,5.0,0.7777777777777778,1.3135802469135802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.6,0.8888888888888888,2.0,9.105,22.5702380952,13.4652380952,12.046703886144446,4.145845891855803,9.105,0.0,1.625,1.625,0.28888888888888886,0.4750617283950618,0.0,0.0,0.000310120689655,0.000310120689655,4.8240996168555555e-05,8.147368241800494e-05,0.0,2.0,229.0,227.0,51.75555555555555,67.16444444444444,12.0
mp-1405146,Ca(FeO2)2,1.736357665869832,-2.144335080714285,170.80516751936844,4.195273641101486,Cubic,Ca1 Fe2 O4,8.0,26.0,18.0,14.857142857142858,7.836734693877552,8.0,7.0,87.0,80.0,66.42857142857143,23.51020408163265,87.0,15.9994,55.845,39.8456,30.823657142857144,16.942008163265307,15.9994,54.8,1811.0,1756.2,708.0285714285714,746.5469387755102,54.8,2.0,16.0,14.0,11.714285714285714,4.8979591836734695,16.0,2.0,4.0,2.0,2.857142857142857,0.979591836734694,2.0,66.0,176.0,110.0,100.57142857142857,39.51020408163265,66.0,1.0,3.44,2.44,2.6314285714285717,0.9240816326530611,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.2857142857142856,1.959183673469388,4.0,0.0,6.0,6.0,1.7142857142857142,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,6.0,1.1428571428571428,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.1428571428571428,0.979591836734694,2.0,0.0,4.0,4.0,1.1428571428571428,1.6326530612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.2857142857142856,0.9795918367346939,2.0,9.105,37.77,28.665000000000003,13.664285714285715,6.88734693877551,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6030465142857143,0.8614950204081632,0.0,12.0,229.0,217.0,104.42857142857143,105.63265306122449,12.0
mp-22464,NaO3,0.6064,-0.5959798315948275,55.67230343961003,2.1173597844860153,Orthorhombic,Na1 O3,8.0,11.0,3.0,8.75,1.125,8.0,2.0,87.0,85.0,65.75,31.875,87.0,15.9994,22.98976928,6.990369280000001,17.74699232,2.6213884800000007,15.9994,54.8,370.87,316.07,133.8175,118.52625,54.8,1.0,16.0,15.0,12.25,5.625,16.0,2.0,3.0,1.0,2.25,0.375,2.0,66.0,166.0,100.0,91.0,37.5,66.0,0.93,3.44,2.51,2.8125,0.9412499999999999,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,3.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.75,1.875,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,2.0,2.0,1.5,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.75,0.375,2.0,9.105,29.2433333333,20.1383333333,14.139583333325,7.5518749999875,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,66.25,81.375,12.0
mp-1202277,CeAg(PO3)4,0.3445999999999998,-2.6927386898743384,999.3304533280944,3.7478356131653765,Monoclinic,Ce1 Ag1 P4 O12,8.0,58.0,50.0,14.5,8.666666666666666,8.0,15.0,87.0,72.0,80.88888888888889,9.086419753086423,87.0,15.9994,140.116,124.11660000000002,31.326224888888888,20.592416691358025,15.9994,54.8,1234.93,1180.13,235.15166666666664,240.46888888888887,54.8,3.0,16.0,13.0,14.777777777777779,1.7283950617283945,16.0,2.0,6.0,4.0,2.611111111111111,0.8148148148148149,2.0,66.0,204.0,138.0,87.16666666666667,28.22222222222222,66.0,1.12,3.44,2.32,2.9494444444444445,0.654074074074074,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.3333333333333335,0.8888888888888888,4.0,0.0,10.0,10.0,0.6111111111111112,1.08641975308642,0.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,4.0,11.0,7.0,5.944444444444445,0.6358024691358024,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,3.0,3.0,2.0,0.4444444444444444,2.0,0.0,9.0,9.0,0.5,0.9444444444444444,0.0,0.0,13.0,13.0,0.7222222222222222,1.3641975308641976,0.0,1.0,22.0,21.0,3.2777777777777777,2.080246913580247,2.0,9.105,37.24,28.135,14.061719576711113,6.608959435614815,9.105,0.0,1.625,1.625,0.3611111111111111,0.5617283950617283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.0,223.0,31.72222222222222,39.50617283950617,12.0
mp-1362204,Y2Cr3O12,2.2189,-2.373003384411765,472.60696740624115,3.6948227460487058,Orthorhombic,Y2 Cr3 O12,8.0,39.0,31.0,14.470588235294118,9.134948096885815,8.0,12.0,87.0,75.0,71.47058823529412,21.923875432525953,87.0,15.9994,88.90585,72.90645,30.928988235294113,21.077065743944637,15.9994,54.8,2180.0,2125.2,635.035294117647,819.1557093425606,54.8,3.0,16.0,13.0,12.705882352941176,4.650519031141869,16.0,2.0,5.0,3.0,2.7058823529411766,0.9965397923875433,2.0,66.0,190.0,124.0,93.47058823529412,38.78200692041522,66.0,1.22,3.44,2.2199999999999998,2.864705882352941,0.8121799307958477,3.44,1.0,2.0,1.0,1.8235294117647058,0.2906574394463668,2.0,0.0,4.0,4.0,2.823529411764706,1.6608996539792387,4.0,0.0,5.0,5.0,1.0,1.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.647058823529412,0.6228373702422142,6.0,0.0,1.0,1.0,0.17647058823529413,0.2906574394463668,0.0,0.0,2.0,2.0,1.411764705882353,0.8304498269896193,2.0,0.0,9.0,9.0,1.9411764705882353,2.7404844290657437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.5294117647058822,2.15916955017301,2.0,9.105,32.365,23.26,12.209411764705882,4.742491349480969,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,71.70588235294117,84.29065743944636,12.0
mp-982040,KBiO3,0.0,-1.4797163924500005,78.63401066432932,6.252348769967362,Cubic,K1 Bi1 O3,8.0,83.0,75.0,25.2,23.119999999999997,8.0,3.0,87.0,84.0,70.0,26.8,87.0,15.9994,208.9804,192.981,59.21538,59.906008,15.9994,54.8,544.4,489.59999999999997,209.06599999999997,185.11919999999998,54.8,1.0,16.0,15.0,12.8,4.72,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,203.0,137.0,109.8,52.55999999999999,66.0,0.82,3.44,2.62,2.632,0.9696,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,29.0,28.0,9.6,7.76,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.4,2.0,9.105,73.1066666667,64.00166666669999,26.67433333334,21.083200000008,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,55.4,69.44,12.0
mp-769557,LiMnNbO4,0.5886999999999998,-2.579481471252054,349.68871022916085,4.15567045777282,Orthorhombic,Li1 Mn1 Nb1 O4,3.0,41.0,38.0,14.428571428571429,10.612244897959183,8.0,1.0,87.0,86.0,64.0,26.285714285714285,87.0,6.941,92.90638,85.96538,31.254717857142857,24.38142551020408,15.9994,54.8,2750.0,2695.2,705.9842857142858,816.294693877551,54.8,1.0,16.0,15.0,11.0,5.714285714285714,16.0,2.0,5.0,3.0,2.7142857142857144,1.0204081632653061,2.0,66.0,164.0,98.0,99.28571428571429,38.04081632653061,66.0,0.98,3.44,2.46,2.5557142857142856,1.010612244897959,3.44,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.959183673469388,4.0,0.0,5.0,5.0,1.2857142857142858,1.836734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,5.285714285714286,1.3061224489795917,6.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,2.0,2.0,1.1428571428571428,0.979591836734694,2.0,0.0,6.0,6.0,1.5714285714285714,2.2448979591836737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,3.0,1.7142857142857142,2.0,9.105,18.18,9.075,11.668702791457141,3.2674079286816315,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,4.4302955665e-05,7.594792399714285e-05,0.0,12.0,229.0,217.0,103.28571428571429,104.3265306122449,12.0
mp-14382,CaV2CoO7,2.0917,-2.4443254863636357,1127.7056296040703,3.6858275587688563,Monoclinic,Ca1 V2 Co1 O7,8.0,27.0,19.0,13.545454545454545,7.057851239669421,8.0,7.0,87.0,80.0,69.63636363636364,22.099173553719005,87.0,15.9994,58.933195,42.933794999999996,28.444545,15.839275454545456,15.9994,54.8,2183.0,2128.2,693.8727272727273,813.3652892561983,54.8,2.0,16.0,14.0,12.090909090909092,4.975206611570248,16.0,2.0,4.0,2.0,2.727272727272727,0.9256198347107438,2.0,66.0,176.0,110.0,97.27272727272727,39.80165289256198,66.0,1.0,3.44,2.44,2.747272727272727,0.8816528925619835,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.5454545454545454,1.8512396694214877,4.0,0.0,7.0,7.0,1.1818181818181819,1.71900826446281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,5.7272727272727275,0.9421487603305785,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2727272727272727,0.9256198347107438,2.0,0.0,7.0,7.0,1.5454545454545454,2.2479338842975207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.8181818181818183,1.553719008264463,2.0,9.105,37.77,28.665000000000003,12.524545454545455,4.766611570247934,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.1407701090909091,0.255945652892562,0.0,12.0,229.0,217.0,87.36363636363636,95.91735537190083,12.0
mp-31761,NbFeO4,1.8299939800952552,-2.4938954783333345,155.77976990612953,4.535608100792027,Monoclinic,Nb1 Fe1 O4,8.0,41.0,33.0,16.5,11.333333333333334,8.0,47.0,87.0,40.0,75.0,16.0,87.0,15.9994,92.90638,76.90698,35.45816333333333,25.945017777777775,15.9994,54.8,2750.0,2695.2,796.6999999999999,989.2000000000002,54.8,5.0,16.0,11.0,12.833333333333334,4.222222222222222,16.0,2.0,5.0,3.0,2.8333333333333335,1.1111111111111112,2.0,66.0,164.0,98.0,93.33333333333333,36.44444444444444,66.0,1.6,3.44,1.8399999999999999,2.865,0.7666666666666666,3.44,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,6.0,6.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.166666666666667,0.6111111111111113,6.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777773,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,6.0,6.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.1666666666666665,1.5555555555555554,2.0,9.105,18.18,9.075,10.888333333333334,2.4305555555555554,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.3517771333333333,0.5862952222222222,0.0,12.0,229.0,217.0,84.33333333333333,96.44444444444446,12.0
